date,cname,measure,count
2020-01-25,Norway,Cases,NA
2020-01-25,Norway,Deaths,NA
2020-01-25,Sweden,Cases,NA
2020-01-25,Sweden,Deaths,NA
2020-01-26,Denmark,Cases,NA
2020-01-26,Denmark,Deaths,NA
2020-01-26,Finland,Cases,NA
2020-01-26,Finland,Deaths,NA
2020-01-26,Iceland,Cases,NA
2020-01-26,Iceland,Deaths,NA
2020-01-26,Norway,Cases,NA
2020-01-26,Norway,Deaths,NA
2020-01-26,Sweden,Cases,NA
2020-01-26,Sweden,Deaths,NA
2020-01-27,Denmark,Cases,NA
2020-01-27,Denmark,Deaths,NA
2020-01-27,Finland,Cases,NA
2020-01-27,Finland,Deaths,NA
2020-01-27,Iceland,Cases,NA
2020-01-27,Iceland,Deaths,NA
2020-01-27,Norway,Cases,NA
2020-01-27,Norway,Deaths,NA
2020-01-27,Sweden,Cases,NA
2020-01-27,Sweden,Deaths,NA
2020-01-28,Denmark,Cases,NA
2020-01-28,Denmark,Deaths,NA
2020-01-28,Finland,Cases,NA
2020-01-28,Finland,Deaths,NA
2020-01-28,Iceland,Cases,NA
2020-01-28,Iceland,Deaths,NA
2020-01-28,Norway,Cases,NA
2020-01-28,Norway,Deaths,NA
2020-01-28,Sweden,Cases,NA
2020-01-28,Sweden,Deaths,NA
2020-01-29,Denmark,Cases,NA
2020-01-29,Denmark,Deaths,NA
2020-01-29,Finland,Cases,NA
2020-01-29,Finland,Deaths,NA
2020-01-29,Iceland,Cases,NA
2020-01-29,Iceland,Deaths,NA
2020-01-29,Norway,Cases,NA
2020-01-29,Norway,Deaths,NA
2020-01-29,Sweden,Cases,NA
2020-01-29,Sweden,Deaths,NA
2020-01-30,Denmark,Cases,NA
2020-01-30,Denmark,Deaths,NA
2020-01-30,Finland,Cases,1
2020-01-30,Finland,Deaths,NA
2020-01-30,Iceland,Cases,NA
2020-01-30,Iceland,Deaths,NA
2020-01-30,Norway,Cases,NA
2020-01-30,Norway,Deaths,NA
2020-01-30,Sweden,Cases,NA
2020-01-30,Sweden,Deaths,NA
2020-01-31,Denmark,Cases,NA
2020-01-31,Denmark,Deaths,NA
2020-01-31,Finland,Cases,1
2020-01-31,Finland,Deaths,NA
2020-01-31,Iceland,Cases,NA
2020-01-31,Iceland,Deaths,NA
2020-01-31,Norway,Cases,NA
2020-01-31,Norway,Deaths,NA
2020-01-31,Sweden,Cases,NA
2020-01-31,Sweden,Deaths,NA
2020-02-01,Denmark,Cases,NA
2020-02-01,Denmark,Deaths,NA
2020-02-01,Finland,Cases,1
2020-02-01,Finland,Deaths,NA
2020-02-01,Iceland,Cases,NA
2020-02-01,Iceland,Deaths,NA
2020-02-01,Norway,Cases,NA
2020-02-01,Norway,Deaths,NA
2020-02-01,Sweden,Cases,1
2020-02-01,Sweden,Deaths,NA
2020-02-02,Denmark,Cases,NA
2020-02-02,Denmark,Deaths,NA
2020-02-02,Finland,Cases,1
2020-02-02,Finland,Deaths,NA
2020-02-02,Iceland,Cases,NA
2020-02-02,Iceland,Deaths,NA
2020-02-02,Norway,Cases,NA
2020-02-02,Norway,Deaths,NA
2020-02-02,Sweden,Cases,1
2020-02-02,Sweden,Deaths,NA
2020-02-03,Denmark,Cases,NA
2020-02-03,Denmark,Deaths,NA
2020-02-03,Finland,Cases,1
2020-02-03,Finland,Deaths,NA
2020-02-03,Iceland,Cases,NA
2020-02-03,Iceland,Deaths,NA
2020-02-03,Norway,Cases,NA
2020-02-03,Norway,Deaths,NA
2020-02-03,Sweden,Cases,1
