"","date","cname","iso3","records.cases","records.deaths","cu_cases","cu_deaths","days_elapsed","end_label"
"150",2020-03-16,"Germany","DEU",1043,4,4838,12,0,NA
"151",2020-03-16,"Iran, Islamic Republic of","IRN",1209,113,13938,724,20,NA
"152",2020-03-16,"Italy","ITA",2823,370,23980,1811,19,NA
"153",2020-03-16,"Japan","JPN",34,2,814,24,5,NA
"154",2020-03-16,"Netherlands","NLD",176,8,1135,20,1,NA
"155",2020-03-16,"Philippines","PHL",29,6,140,12,0,NA
"156",2020-03-16,"Korea, Republic of","KOR",74,0,8236,75,19,NA
"157",2020-03-16,"Spain","ESP",2000,152,7753,288,6,NA
"158",2020-03-16,"Switzerland","CHE",841,2,2200,13,1,NA
"159",2020-03-16,"United Kingdom","GBR",251,14,1391,35,3,NA
"160",2020-03-16,"USA","USA",823,12,3774,69,11,NA
"161",2020-03-17,"China","CHN",43,9,81063,3225,55,NA
"162",2020-03-17,"France","FRA",1210,21,6633,148,9,NA
"163",2020-03-17,"Germany","DEU",1174,1,6012,13,1,NA
"164",2020-03-17,"Iran, Islamic Republic of","IRN",1053,129,14991,853,21,NA
"165",2020-03-17,"Italy","ITA",4000,347,27980,2158,20,NA
"166",2020-03-17,"Japan","JPN",10,4,824,28,6,NA
"167",2020-03-17,"Netherlands","NLD",278,4,1413,24,2,NA
"168",2020-03-17,"Philippines","PHL",2,0,142,12,1,NA
"169",2020-03-17,"Korea, Republic of","KOR",84,6,8320,81,20,NA
"170",2020-03-17,"Spain","ESP",1438,21,9191,309,7,NA
"171",2020-03-17,"Switzerland","CHE",0,1,2200,14,2,NA
"172",2020-03-17,"United Kingdom","GBR",152,20,1543,55,4,NA
"173",2020-03-17,"USA","USA",887,16,4661,85,12,NA
"174",2020-03-18,"China","CHN",23,16,81086,3241,56,NA
"175",2020-03-18,"France","FRA",1097,27,7730,175,10,NA
"176",2020-03-18,"Germany","DEU",1144,0,7156,13,2,NA
"177",2020-03-18,"Iran, Islamic Republic of","IRN",1178,135,16169,988,22,NA
"178",2020-03-18,"Iraq","IRQ",30,2,154,11,0,NA
