records.dateRep,records.day,records.month,records.year,records.cases,records.deaths,records.countriesAndTerritories,records.geoId,records.countryterritoryCode,records.popData2018,date,iso2,iso3,cname
16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2866376,2020-03-16,AL,ALB,Albania
15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2866376,2020-03-15,AL,ALB,Albania
14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2866376,2020-03-14,AL,ALB,Albania
13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2866376,2020-03-13,AL,ALB,Albania
12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2866376,2020-03-12,AL,ALB,Albania
11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2866376,2020-03-11,AL,ALB,Albania
10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2866376,2020-03-10,AL,ALB,Albania
09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2866376,2020-03-09,AL,ALB,Albania
13/04/2020,13,4,2020,89,18,Algeria,DZ,DZA,42228429,2020-04-13,DZ,DZA,Algeria
12/04/2020,12,4,2020,64,19,Algeria,DZ,DZA,42228429,2020-04-12,DZ,DZA,Algeria
11/04/2020,11,4,2020,95,21,Algeria,DZ,DZA,42228429,2020-04-11,DZ,DZA,Algeria
10/04/2020,10,4,2020,94,30,Algeria,DZ,DZA,42228429,2020-04-10,DZ,DZA,Algeria
09/04/2020,9,4,2020,104,11,Algeria,DZ,DZA,42228429,2020-04-09,DZ,DZA,Algeria
08/04/2020,8,4,2020,45,21,Algeria,DZ,DZA,42228429,2020-04-08,DZ,DZA,Algeria
07/04/2020,7,4,2020,103,21,Algeria,DZ,DZA,42228429,2020-04-07,DZ,DZA,Algeria
06/04/2020,6,4,2020,20,22,Algeria,DZ,DZA,42228429,2020-04-06,DZ,DZA,Algeria
05/04/2020,5,4,2020,314,47,Algeria,DZ,DZA,42228429,2020-04-05,DZ,DZA,Algeria
04/04/2020,4,4,2020,139,25,Algeria,DZ,DZA,42228429,2020-04-04,DZ,DZA,Algeria
03/04/2020,3,4,2020,0,0,Algeria,DZ,DZA,42228429,2020-04-03,DZ,DZA,Algeria
02/04/2020,2,4,2020,263,23,Algeria,DZ,DZA,42228429,2020-04-02,DZ,DZA,Algeria
01/04/2020,1,4,2020,73,4,Algeria,DZ,DZA,42228429,2020-04-01,DZ,DZA,Algeria
31/03/2020,31,3,2020,57,2,Algeria,DZ,DZA,42228429,2020-03-31,DZ,DZA,Algeria
30/03/2020,30,3,2020,45,3,Algeria,DZ,DZA,42228429,2020-03-30,DZ,DZA,Algeria
29/03/2020,29,3,2020,104,5,Algeria,DZ,DZA,42228429,2020-03-29,DZ,DZA,Algeria
28/03/2020,28,3,2020,0,0,Algeria,DZ,DZA,42228429,2020-03-28,DZ,DZA,Algeria
27/03/2020,27,3,2020,41,4,Algeria,DZ,DZA,42228429,2020-03-27,DZ,DZA,Algeria
26/03/2020,26,3,2020,33,0,Algeria,DZ,DZA,42228429,2020-03-26,DZ,DZA,Algeria
25/03/2020,25,3,2020,42,0,Algeria,DZ,DZA,42228429,2020-03-25,DZ,DZA,Algeria
24/03/2020,24,3,2020,87,2,Algeria,DZ,DZA,42228429,2020-03-24,DZ,DZA,Algeria
23/03/2020,23,3,2020,8,5,Algeria,DZ,DZA,42228429,2020-03-23,DZ,DZA,Algeria
22/03/2020,22,3,2020,0,0,Algeria,DZ,DZA,42228429,2020-03-22,DZ,DZA,Algeria
21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429,2020-03-21,DZ,DZA,Algeria
20/03/2020,20,3,2020,9,1,Algeria,DZ,DZA,42228429,2020-03-20,DZ,DZA,Algeria
19/03/2020,19,3,2020,13,1,Algeria,DZ,DZA,42228429,2020-03-19,DZ,DZA,Algeria
18/03/2020,18,3,2020,0,1,Algeria,DZ,DZA,42228429,2020-03-18,DZ,DZA,Algeria
17/03/2020,17,3,2020,12,0,Algeria,DZ,DZA,42228429,2020-03-17,DZ,DZA,Algeria
16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429,2020-03-16,DZ,DZA,Algeria
15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429,2020-03-15,DZ,DZA,Algeria
14/03/2020,14,3,2020,2,1,Algeria,DZ,DZA,42228429,2020-03-14,DZ,DZA,Algeria
13/03/2020,13,3,2020,4,1,Algeria,DZ,DZA,42228429,2020-03-13,DZ,DZA,Algeria
12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429,2020-03-12,DZ,DZA,Algeria
